GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
tp	from_voiceless	from_alveolar	from_plosive	to_voiceless	to_bilabial	to_plosive			
tk	from_voiceless	from_alveolar	from_plosive	to_voiceless	to_velar	to_plosive			
tq	from_voiceless	from_alveolar	from_plosive	to_voiceless	to_uvular	to_plosive			
td	from_voiceless	from_alveolar	from_plosive	to_voiced	to_alveolar	to_plosive			
tʈ	from_voiceless	from_alveolar	from_plosive	to_voiceless	to_retroflex	to_plosive			
tʔ	from_voiceless	from_alveolar	from_plosive	to_voiceless	to_glottal	to_plosive			
tb	from_voiceless	from_alveolar	from_plosive	to_voiced	to_bilabial	to_plosive			
tg	from_voiceless	from_alveolar	from_plosive	to_voiced	to_velar	to_plosive			
tɢ	from_voiceless	from_alveolar	from_plosive	to_voiced	to_uvular	to_plosive			
pk	from_voiceless	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive			
pq	from_voiceless	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive			
pd	from_voiceless	from_bilabial	from_plosive	to_voiced	to_alveolar	to_plosive			
pʈ	from_voiceless	from_bilabial	from_plosive	to_voiceless	to_retroflex	to_plosive			
pʔ	from_voiceless	from_bilabial	from_plosive	to_voiceless	to_glottal	to_plosive			
pb	from_voiceless	from_bilabial	from_plosive	to_voiced	to_bilabial	to_plosive			
pg	from_voiceless	from_bilabial	from_plosive	to_voiced	to_velar	to_plosive			
pɢ	from_voiceless	from_bilabial	from_plosive	to_voiced	to_uvular	to_plosive			
kq	from_voiceless	from_velar	from_plosive	to_voiceless	to_uvular	to_plosive			
kd	from_voiceless	from_velar	from_plosive	to_voiced	to_alveolar	to_plosive			
kʈ	from_voiceless	from_velar	from_plosive	to_voiceless	to_retroflex	to_plosive			
kʔ	from_voiceless	from_velar	from_plosive	to_voiceless	to_glottal	to_plosive			
kb	from_voiceless	from_velar	from_plosive	to_voiced	to_bilabial	to_plosive			
kg	from_voiceless	from_velar	from_plosive	to_voiced	to_velar	to_plosive			
kɢ	from_voiceless	from_velar	from_plosive	to_voiced	to_uvular	to_plosive			
qd	from_voiceless	from_uvular	from_plosive	to_voiced	to_alveolar	to_plosive			
qʈ	from_voiceless	from_uvular	from_plosive	to_voiceless	to_retroflex	to_plosive			
qʔ	from_voiceless	from_uvular	from_plosive	to_voiceless	to_glottal	to_plosive			
qb	from_voiceless	from_uvular	from_plosive	to_voiced	to_bilabial	to_plosive			
qg	from_voiceless	from_uvular	from_plosive	to_voiced	to_velar	to_plosive			
qɢ	from_voiceless	from_uvular	from_plosive	to_voiced	to_uvular	to_plosive			
dʈ	from_voiced	from_alveolar	from_plosive	to_voiceless	to_retroflex	to_plosive			
dʔ	from_voiced	from_alveolar	from_plosive	to_voiceless	to_glottal	to_plosive			
db	from_voiced	from_alveolar	from_plosive	to_voiced	to_bilabial	to_plosive			
dg	from_voiced	from_alveolar	from_plosive	to_voiced	to_velar	to_plosive			
dɢ	from_voiced	from_alveolar	from_plosive	to_voiced	to_uvular	to_plosive			
ʈʔ	from_voiceless	from_retroflex	from_plosive	to_voiceless	to_glottal	to_plosive			
ʈb	from_voiceless	from_retroflex	from_plosive	to_voiced	to_bilabial	to_plosive			
ʈg	from_voiceless	from_retroflex	from_plosive	to_voiced	to_velar	to_plosive			
ʈɢ	from_voiceless	from_retroflex	from_plosive	to_voiced	to_uvular	to_plosive			
ʔb	from_voiceless	from_glottal	from_plosive	to_voiced	to_bilabial	to_plosive			
ʔg	from_voiceless	from_glottal	from_plosive	to_voiced	to_velar	to_plosive			
ʔɢ	from_voiceless	from_glottal	from_plosive	to_voiced	to_uvular	to_plosive			
bg	from_voiced	from_bilabial	from_plosive	to_voiced	to_velar	to_plosive			
bɢ	from_voiced	from_bilabial	from_plosive	to_voiced	to_uvular	to_plosive			
gɢ	from_voiced	from_velar	from_plosive	to_voiced	to_uvular	to_plosive			
